Swedish,English
glömma,forget
välja,choose
känslor,emotions
kallade,called
förlorat,lost
fader,Father
pa,pa
ändra,change
leder,leads
kung,King
lovade,promised
sov,sleeping
året,the year
sticka,knit
svarta,black
paul,Paul
fantastisk,fantastic
högt,high
henry,Henry
hjärtat,the heart
stopp,Stop
glömt,forgotten
flickvän,girlfriend
fullt,fully
stal,stole
ända,end
alex,alex
jesus,Jesus
grej,thing
meter,meter
dröm,dream
ligga,lie
sönder,broken
hungrig,hungry
o,O
använde,used
ljög,lied
steg,step
förstöra,Destroy
tillhör,belongs to
slags,sort of
fly,escape
vare,item
hellre,rather
uppdrag,mission
speciellt,especially
vackert,beautifully
värsta,worst
fina,fine
spelade,played
dansa,dance
vila,rest
klarade,passed
söt,sweet
filmen,the movie
värt,worth
skämt,joke
jävlar,bastards
namnet,the name
skogen,the forest
kär,in love
frun,madam
lösa,solve
gatan,the street
bild,photo
musik,music
sist,last
slutade,stopped
upptagen,busy
talat,spoken
snacka,talk
säkerhet,security
dricker,drinks
äkta,genuine
därifrån,from there
hette,called
jim,Jim
harry,harry
förlorar,loses
stad,City
drog,drug
general,General
lunch,lunch
ungefär,approximately
lärt,learned
stäng,close
hög,high
handen,the hand
kasta,throw
adjö,goodbye
varenda,every
brott,crime
bar,bar
byta,change
området,the area
valde,chose
glas,glass
unga,young
ställer,poses
börjat,begun
vann,won
intresserad,interested
nick,nod
jimmy,jimmy
väntade,waited
köper,buys
pojkar,boys
dumt,stupid
åk,go
sarah,Sarah
ordnar,arranges
fröken,Miss
framtiden,the future
ray,ray
make,husband
säljer,selling
försvinn,disappear
pojkvän,boyfriend
snyggt,nicely
minut,minute
flickor,girls
vackra,beautiful
dåliga,bad ones
spår,track
stör,disturb
tittade,watched
hänger,hanging
ingenstans,nowhere
dela,share
närheten,the vicinity
bevisa,prove
ljus,light
hinner,in time
nyss,just
paris,Paris
luktar,smells
släpper,lets go
närmare,closer
svär,swear
chansen,the chance
förstått,understood
velat,wanted
vanligt,usual
drink,drink
tony,Tony
sängen,the bed
bob,bob
brev,letter
detsamma,the same
överens,agree
gissa,guess
å,Oh
någonstans,somewhere
talas,spoken
väntat,expected
boken,the book
bill,bill
arbeta,work
dumma,stupid
pistol,gun
ansiktet,the face
ringt,rung
röst,voice
akta,beware
säkra,secure
månad,month
ombord,on board
läst,read
själ,Soul
äger,owns
tommy,Tommy
välkomna,welcome
marken,the ground
lägenhet,apartment
försiktigt,gently
stackars,Poor
grejer,stuff
mary,mary
bilder,pictures
kontroll,control
dessutom,in addition
underbar,Wonderful
läser,reading
telefonen,the phone
utmärkt,excellent
svarar,answers
presidenten,the president
uppskattar,appreciates
extra,extra
gilla,like
n,n
skadad,injured
tanke,thought
bygga,build
dött,dead
planen,the plan
lämnat,left
bestämmer,decides
partner,partner
sorts,sort of
sådan,such
gode,good
doktor,Doctor
liksom,as well as
flyga,fly
utom,except
sällskap,company
läste,read
verkade,seemed
förresten,by the way
tusen,thousand
minst,least
london,London
unge,young
rena,clean
tal,speech
olycka,accident
stack,stack
platsen,the place
danny,danny
festen,the party
inser,realizes
kunnat,could
skitsnack,bullshit
offer,victims
skepp,Ship
lyckades,succeeded
glömmer,forgets
krävs,is required
halv,half
låna,borrow
framåt,Forward
grabbar,guys
tillstånd,condition
van,used to
öga,eye
respekt,respect
lista,list
vapnet,the weapon
ren,clean
hopp,hope
nervös,nervous
skapa,create
richard,richard
kyrkan,the church
leka,play
prova,try
följde,followed
överste,colonel
team,team
folket,the people
ställ,rack
historien,history
varken,neither
öppnar,opens
billy,billy
bredvid,next
jake,Jake
martin,martin
jul,Christmas
bodde,lived
tecken,sign
genast,immediately
förstod,understood
äldre,older
försvinner,disappears
gravid,pregnant
insåg,realized
makt,Power
räkna,count
skäl,reason
skeppet,the ship
hemlighet,secret
behålla,retain
passa,fit
mördaren,the killer
båten,the boat
sade,said
framtid,future
lag,law
oavsett,regardless
talade,spoke
killarna,the guys
kräver,requires
varann,each other
värd,host
ryggen,the back
massor,plenty
jämt,even
säng,BED
kraft,force
bjuda,invite
väljer,chooses
föll,fell
avsluta,end
havet,the sea
innebär,implies
bära,wear
ej,not
chris,chris
stilla,still
tjäna,serve
beror,depends
tråkigt,boring
kostar,costs
himlen,the sky
förmodligen,probably
viktig,important
maten,the food
högre,higher
te,tea
solen,the sun
clark,clark
hjälte,hero
lyckas,succeed
antingen,either
besök,visit
djupt,deep
vit,White
överraskning,surprise
förstör,destroy
vågar,dares
bit,bit
hamnar,end up
tankar,thoughts
upprörd,upset
grupp,group
lik,like
vanliga,usual
morgonen,the morning
thomas,Thomas
engelska,English
nyckeln,the key
förstås,of course
ansvar,responsibility
band,band
vin,wine
ljuga,lie
meningen,the meaning
slappna,relax
bröt,broke
överleva,survive
ordet,the word
ar,are
företag,business
beredd,prepared
mordet,the murder
jäveln,the bastard
missade,missed
flyttar,moving
steve,steve
fånga,catch
ms,etc
pistolen,the gun
röda,red
endast,only
lova,promise
per,per
johnny,johnny
sprang,ran
blå,blue
taget,taken
fatta,take
flyttade,moved
normalt,normally
tackar,thanks
baby,baby
ärlig,honest
anna,another
laga,prepare
kontoret,the office
daniel,Daniel
ålder,age
kungen,the king
skämtar,joking
bjuder,invites
vänd,turn
luften,the air
frukost,breakfast
jane,jane
planer,plans
knulla,fuck
monster,monster
tolv,Twelve
leda,lead
hälften,half
poäng,point
starta,start
gömma,hide
galet,crazy
hjärna,brain
varmt,warm
målet,the target
stänga,close
golvet,the floor
ljuset,the light
bordet,the table
ära,honor
dar,there
helvetet,hell
ledare,leader
galna,crazy
smärta,pain
minnas,Remember
nöjd,satisfied
rent,purely
lagt,laid
nåd,Grace
hejsan,Hello
eddie,eddie
backa,back
ät,eat
kändes,felt
springa,run
tjänar,serves
skrivit,written
spännande,exciting
tanken,the thought
gratis,free
wow,wow
definitivt,definitely
bobby,bobby
båt,Boat
träffades,were met
föddes,was born
papper,paper
ordning,order
kämpa,fight
lagen,the law
skillnad,difference
sjukhus,hospital
bryta,break
samtidigt,at the same time
åren,the years
droger,drugs
will,will
scott,Scott
titt,look
använd,used
sköta,take care of
ihjäl,to death
vägrar,refuses
ske,be done
ungar,kids
bilden,the image
farfar,grandfather
ärligt,honestly
fängelset,the prison
mördade,murdered
letade,searched
faller,falls
flyger,flying
tappade,dropped
mormor,grandmother
sjunga,sing
hemsk,terrible
suger,sucks
sekund,second
dök,dived
soldater,troops
öppen,open
sköter,cares
öde,Fate
regler,rules
pris,price
skriv,write
översättning,translation
kusin,cousin
betalt,paid
jävligt,damn
förklarar,explains
snällt,kindly
speciell,special
delen,the part
amerikanska,American
knappast,hardly
människorna,the people
hunden,the dog
hänga,hang
chuck,chuck
dyker,diving
köket,the kitchen
fönstret,the window
skiter,crap
lee,smile
claire,Claire
oskyldig,innocent
hundra,hundred
fann,found
hamnade,ended up
härligt,lovely
charles,Charles
känsla,feeling
hot,threat
bry,bother
farväl,farewell
damen,the lady
hål,Hole
college,college
kollade,checked
lättare,easier
skjuten,shot
of,of
häftigt,awesome
gäng,gang
exempel,example
styrka,strength
viktiga,important
ätit,ate
gamle,old
skor,shoes
aj,Ouch
pappas,dad's
framme,in front
möta,meet
gränsen,the border
lärare,teacher
kört,driven
jäkla,damn
dam,lady
robert,robert
springer,running
evigt,forever
hoppades,hoped
kallt,cool
senast,last
stjäla,steal
gumman,old woman
reglerna,the rules
slag,kind
rachel,Rachel
kl.,at
förändras,change
fungera,work
häst,HORSE
kate,Kate
bröder,brothers
diskutera,discuss
gömmer,hiding
rolig,funny
inblandad,involved
maria,Maria
lille,little
svaret,the answer
orsak,cause
männen,the men
bilar,cars
mammas,mom's
ordentligt,properly
snabbare,faster
vända,turn
drömmar,dreams
walter,Walter
presentera,present
broder,Brother
köpt,purchased
regeringen,the government
självmord,suicide
kevin,kevin
återvända,return
washington,washington
ensamma,alone
rik,Rich
form,form
amerika,America
bestämt,Certainly
skyddar,protects
adam,adam
guld,gold
listan,the list
poliser,police officers
minne,memory
förhållande,ratio
hotellet,the hotel
kontrollera,verify
jagar,chasing
taket,the ceiling
sådant,such
bett,bite
jaga,hunt
stycken,pieces
slipper,escapes
t,t
driver,drives
dejt,date
frisk,fresh
amy,amy
väggen,the wall
bröllop,wedding
jerry,Jerry
street,street
arthur,arthur
ena,one
procent,percent
halsen,the neck
försvinna,disappear
city,city
andy,andy
desto,the more
krafter,forces
personen,the person
tänder,teeth
farlig,dangerous
färdig,finished
kött,meat
eric,eric
armén,the army
ifred,alone
vanlig,common
lov,permission
karl,Charles
varm,hot
levde,lived
tusan,heck
bak,rear
betalade,paid
gåva,gift
antagligen,probably
sanning,truth
major,major
km,km
gifte,married
england,England
sparken,fired
vems,whose
mobil,mobile
matt,matt
sålde,sold
munnen,the mouth
struntar,don't care
angående,concerning
förstörde,destroyed
fria,free
dator,computer
växte,grew
stranden,the beach
ryan,ryan
hotell,Hotel
förflutna,past
hantera,manage
coolt,cool
sergeant,sergeant
sysslar,chores
carter,Carter
lagar,laws
alan,the field
magi,magic
mötet,the meeting
skitstövel,crap boot
föredrar,prefer
kameran,the camera
tåget,the train
skott,shot
hemska,terrible
liknande,similar
svin,swine
umgås,hang out
strid,battle
ön,the island
tryck,pressure
medicin,medicine
kyle,cold
spelet,the game
noga,carefully
brian,Brian
vaken,awake
sakta,slowly
skola,school
hemligheter,secrets
san,true
red,ed
matchen,the match
når,reach
fira,celebrate
böcker,books
löjtnant,lieutenant
liknar,resembles
drick,drink
koppla,connect
tvinga,force
minsta,smallest
text,text
mun,mouth
träd,Tree
föra,bring
affär,business
bjöd,invited
situationen,the situation
benen,the legs
an,an
helgen,weekend
hjärnan,the brain
skrämmer,scares
stannade,stopped
hustru,wife
erkänna,admit
le,smile
bryter,breaks
skydd,protection
alice,Alice
soldat,soldier
karriär,career
byggnaden,the building
rätten,the right
reser,travels
floden,the river
anser,consider
koll,check
klä,dress
herrn,sir
sker,happens
miljon,million
japp,yup
stationen,the station
åkt,ride
skratta,laugh
söka,search
bandet,the band
simon,simon
omedelbart,immediately
onda,evil
område,area
frihet,freedom
privat,private
loss,loose
taxi,taxi
glada,happy
jobbigt,troublesome
d,d
väskan,the bag
skapade,created
ted,ted
skrattar,laughing
halva,half
överlever,survives
uppmärksamhet,attention
fars,farce
lura,fool
förslag,proposal
grejen,the thing
spåra,track
syns,visible
konstig,Strange
förändrats,changed
äktenskap,marriage
vetat,knew
starkare,stronger
testa,test
sheriffen,the sheriff
bråttom,in a hurry
sötnos,sweetheart
dörr,door
jason,Jason
emma,Emma
hora,whore
löser,solves
håret,the hair
fisk,fish
nyligen,recently
hoppar,jumping
affären,the business
hindra,hinder
fångar,prisoners
tjena,serve
william,william
is,ice
saknas,is missing
vaknar,wakes up
dave,Dave
blodet,the blood
kyss,kiss
nytta,benefit
sådana,such
gråta,cry
phil,phil
skallen,the skull
högsta,highest
situation,situation
present,present
rom,Rome
släppte,released
oroar,worrier
närmar,approaches
tappat,dropped
bussen,the bus
föreslår,suggests
luft,air
väska,bag
mil,miles
tusentals,thousands of
ägg,egg
banken,the bank
skuld,debt
oliver,olives
sara,sarah
pete,pete
undvika,avoid
stöd,support
minnen,memories
bestämma,determine
samman,Together
misstänkt,suspected
resan,the journey
tillfälle,opportunity
priset,the price
skickat,sent
slutat,finished
bord,table
offret,the victim
sakna,miss
tokig,crazy
via,via
tidningen,the newspaper
tycka,think
fot,Foot
nämnde,mentioned
jäklar,devils
laget,the team
ed,oath
besviken,disappointed
samtalet,the conversation
våld,violence
ljud,sound
samla,collect
tillbaks,back
fiender,enemies
röd,RED
födelsedag,birthday
leo,leo
alltihop,all of it
troligen,probably
emily,Emily
lögn,lie
joey,joey
avtal,agreement
påminner,reminds
toaletten,the toilet
kontakta,contact
allihopa,all of them
fötter,feet
pâ,on
ifall,If
faktum,fact
starka,strong
klass,class
kuk,cock
viktigaste,most important
drack,drank
återvänder,returns
ansvarig,responsible
don,Don
systemet,the system
sten,Stone
hoppade,jumped
position,position
nyheterna,the news
stänger,closes
långa,long
platser,places
uppdraget,the assignment
mörkret,the darkness
skär,notch
skapar,creates
dna,DNA
r,r
vis,way
semester,holiday
tuff,tough
snabb,fast
luke,Luke
middagen,the dinner
adress,address
års,year
lustigt,funny
orkar,can bear
tycks,seems
lily,lily
skrämde,scared
tillgång,access
nycklarna,the keys
kastar,throws
hållit,held
räknar,counting
rädsla,fear
slippa,avoid
duger,will do
baren,the bar
undrade,wondered
begär,requests
eftermiddag,afternoon
känd,known
skadade,injured
nöje,pleasure
mörkt,dark
match,match
lyckliga,happy
frankrike,France
märkligt,strange
företaget,the company
armé,army
växer,growing
svår,difficult
hittades,was found
svarade,answered
missar,misses
möjlighet,opportunity
öppet,open
hundar,dogs
energi,energy
sådär,like that
professor,professor
bygger,builds
saknat,missed
dagarna,the days
acceptera,accept
lurade,cheated
and,duck
tvätta,wash
idéer,ideas
mej,me
löjligt,ridiculously
plocka,pick
lisa,lisa
dölja,hide
ställde,posed
förvånad,surprised
high,high
numret,the number
dödad,killed
majestät,Majesty
eh,eh
big,big
hållet,held
hård,hard
letat,looked for
försvara,defend
personligt,personal
föreställa,imagine
kastade,threw
styr,controls
lek,play
svag,weak
arm,arm
stoppar,stops
hemligt,secretly
domare,Judge
fundera,think
blommor,flowers
avslöja,reveal
efteråt,afterwards
mörda,murder
ungarna,the kids
ringen,the ring
arbetet,the work
st,St
gifter,poisons
sjunger,sings
vaknade,woke up
carl,Carl
sökte,sought
handlade,shopped
mördad,murdered
dagens,today's
sakerna,the things
läs,read
möter,meets
smaka,taste
rika,rich
flickorna,the girls
hamna,end up
snabba,fast
fälla,trap
stil,style
avskyr,abhor
städa,clean
pass,Pass
klient,client
sms,sms
kärleken,the love
flög,flew
vänder,turns
heliga,saints
fokusera,focus
tysta,shut up
annanstans,elsewhere
fienden,the enemy
hemliga,secret
drottning,queen
kilometer,kilometers
jackson,jackson
relation,relationship
idioter,idiots
lås,lock
el,electricity
gråter,crying
bröst,breast
klubben,the club
leker,playing
plus,plus
lucy,lucy
hann,he
hämnd,revenge
fulla,full
likadant,the same
sjuka,sick
rapport,report
system,system
jones,jones
rättvisa,justice
assistent,assistant
farmor,grandmother
fiende,enemy
viss,certain
tvingade,forced
los,lose
spara,save
bollen,the ball
morgan,tomorrow
råkar,happens
ovanligt,unusually
förlåta,forgive
franska,French
givetvis,of course
vapnen,the weapons
lord,Lord
louis,Louis
rose,rose
bekant,known
smakar,tastes
missa,miss
susan,Susan
packa,pack
kniv,knife
al,al
katt,Cat
förändra,change
inse,realize
fyller,fills
jeff,Jeff
bröllopet,the wedding
tjejerna,the girls
planerat,planned
döende,dying
dansar,dancing
källaren,the basement
skriker,screams
barry,barry
ändrar,changes
mästare,Master
färg,Paint
påstår,claims
vilse,astray
vakt,guard
valt,chosen
vuxen,adult
chloe,Chloe
kopp,cup
arbetade,worked
jenny,jenny
låst,locked
perfekta,perfect
översatt,translated
operation,Operation
c,c
byter,changes
förväntar,expect
abby,abby
poängen,the point
magen,the stomach
planeten,the planet
grace,Grace
märker,notices
tacksam,grateful
panik,panic
nått,reached
höga,high
nödvändigt,necessary
alternativ,alternative
ledde,led
tyska,German
kollat,checked
sjukt,sick
vinden,the wind
inuti,Inside
räddar,saves
normal,normal
tillfället,the occasion
musiken,the music
still,still
fredag,Friday
kämpar,fighting
cia,cia
